,sensor_07,sensor_09,sensor_08,sensor_04,sensor_00,sensor_06,sensor_10,sensor_02,sensor_11,sensor_12,sensor_01,sensor_03,sensor_05,sensor_38,sensor_40,sensor_48,sensor_49,sensor_13,sensor_47,sensor_44,sensor_46,sensor_45,sensor_28,sensor_43,sensor_31
sensor_01,0.18901446431883615,0.1612523216787532,0.22118191440102242,0.09480216485558259,0.09179898624941044,0.15379332791124925,0.002070060446567228,0.27719777366296916,0.007759247516292713,-0.00921275178878354,1.0,0.3297793180057844,0.03771796660471591,0.15949511906986336,0.10920043658805424,0.1420651100816227,0.23537043703841215,0.030237485101347574,0.11220131082097905,0.21019406195309295,0.12321191299389508,0.20120481843293272,0.05204709959202866,0.14511048512036911,0.054946017972598224
sensor_03,0.3134843272742893,0.21756161290591847,0.2632167482562866,0.2251530082048293,0.2860388256635968,0.37985609885915533,0.14872247606290417,0.6019062547956975,0.3503824394270576,0.27714531791288466,0.3297793180057844,1.0,0.010765685739548678,0.1542209851381308,0.17157921508549112,0.34304205318390657,0.2439129060946147,0.23402373470749788,0.11904283427312724,0.19594885122166086,0.1296103604060197,0.14562766734797533,-0.1316978247590089,0.14401015437127473,-0.023929299116001296
sensor_05,0.14710983786820575,0.12333362931131117,0.09973450466875025,0.4285450142958835,0.3995539581634253,0.0565746696180519,0.24350016876916442,0.1085535225077613,0.1227272967901103,0.13842002539801132,0.03771796660471591,0.010765685739548678,1.0,0.17348270740702765,-0.10631279234855767,-0.21872612527961713,-0.12249890984481876,-0.18183682620601463,-0.14944627757154993,-0.1485717965305606,-0.2303449994485297,-0.13359558819035766,0.04065634466062566,-0.1368009896933815,-0.006988575725008023
sensor_38,0.043960230985145836,0.052752346837182565,0.05068386095440115,0.011255441374606571,-0.004423860845637917,0.019028902223917423,0.04502742595311907,0.07780981711907825,-0.027366785384164944,-0.023399915805879325,0.15949511906986336,0.1542209851381308,0.17348270740702765,1.0,0.008562451982169497,-0.11381718693520651,-0.009193843514766034,-0.05097747938506655,0.28079424927472196,0.09717662987875778,-0.03346359201528953,0.011415035982912478,0.040301189919027376,0.1398864334177828,0.026163191919540852
sensor_40,0.2217677024538152,0.12509175286946192,0.20016787086846705,0.07176788926934134,0.068693698781891,0.27623017373560876,0.15133545436089477,0.010927290186368066,0.2516338179019329,0.13978847272516795,0.10920043658805424,0.17157921508549112,-0.10631279234855767,0.008562451982169497,1.0,0.2509320189706495,0.1657192004726688,0.27874249390825306,0.15037239797794433,0.21870803523083987,0.266432546350682,0.09304602860218233,-0.009847172387062104,0.7862705694421114,0.064550940090193
sensor_48,0.3640034674257919,0.16225806259340497,0.3025599423170608,0.18400531869539696,0.19839642779686478,0.5419753463960969,0.12699192483418958,0.15885724031135234,0.5019647041722162,0.3670169579375971,0.1420651100816227,0.34304205318390657,-0.21872612527961713,-0.11381718693520651,0.2509320189706495,1.0,0.5730521418714972,0.5041497019950024,0.1024306594809492,0.3520457517303678,0.36358642396742075,0.40850115716432794,-0.01991156869177415,0.08710211851574344,0.13999118083240017
sensor_49,0.22805021196027284,0.06899889752747189,0.19880720425023188,0.08427610501663607,0.08732577497667157,0.32757717506835654,-0.02632973343148729,0.14872582290007247,0.32796879130880624,0.26701328261821106,0.23537043703841215,0.2439129060946147,-0.12249890984481876,-0.009193843514766034,0.1657192004726688,0.5730521418714972,1.0,0.25712648191201626,0.1477355784122745,0.5625201267929344,0.24247248270266006,0.3645305440495911,-0.04605829348083677,0.09469096989928681,0.05315808018917908
sensor_13,0.3437569663463156,0.17202012139320344,0.32270815217250376,0.10936872734261197,0.10607799242554558,0.5224666149374032,0.10030171116209916,-0.04803731732403259,0.4527531609370177,0.3041316107978551,0.030237485101347574,0.23402373470749788,-0.18183682620601463,-0.05097747938506655,0.27874249390825306,0.5041497019950024,0.25712648191201626,1.0,0.0999389082380357,0.23035213392839765,0.20384244436153942,0.1506871237296941,-0.000538746898721609,0.08489848313182907,0.15292937313177035
sensor_47,0.11667100227533016,0.11094157011049406,0.13684333876543986,-0.040215455376099066,-0.019204601942810692,0.13721977797273704,0.2523305717055215,0.04939760180471597,0.03914217194187905,0.00413333258061878,0.11220131082097905,0.11904283427312724,-0.14944627757154993,0.28079424927472196,0.15037239797794433,0.1024306594809492,0.1477355784122745,0.0999389082380357,1.0,0.5371922833886216,0.2936630701156072,0.1902728776497316,0.04901979407858405,0.24857006620784705,0.06544279427107712
sensor_44,0.18049478046160264,0.08547765765593938,0.18592010438674206,-0.010432584279187817,-0.0237938486933403,0.24117559407891911,0.0014812156443056704,0.05508156380561253,0.16908701641453663,0.11063184905805702,0.21019406195309295,0.19594885122166086,-0.1485717965305606,0.09717662987875778,0.21870803523083987,0.3520457517303678,0.5625201267929344,0.23035213392839765,0.5371922833886216,1.0,0.2932512875635839,0.34054963056036447,-0.015832595378865215,0.2231988216122012,0.054428727040525295
sensor_46,0.13263052175811535,0.06918680460995348,0.12275511933742517,-0.09158009932195342,-0.06300559488485186,0.21109378098031606,0.09317792571601477,0.04312927957685258,0.09330283950584235,0.06761163732758442,0.12321191299389508,0.1296103604060197,-0.2303449994485297,-0.03346359201528953,0.266432546350682,0.36358642396742075,0.24247248270266006,0.20384244436153942,0.2936630701156072,0.2932512875635839,1.0,0.6962321248849532,-0.010674726462155067,0.3535815105575208,0.04269706058665386
sensor_45,0.10431805269239097,0.03709660174566636,0.1016089364330525,-0.0847142359767327,-0.06853801307972726,0.13264143287771635,-0.08792714799665974,0.08296491020254226,0.10236444444107341,0.07591572193514295,0.20120481843293272,0.14562766734797533,-0.13359558819035766,0.011415035982912478,0.09304602860218233,0.40850115716432794,0.3645305440495911,0.1506871237296941,0.1902728776497316,0.34054963056036447,0.6962321248849532,1.0,-0.015347425960424215,0.14042015455216234,0.031010077909049468
sensor_28,-0.0887757912382957,0.008983376531194237,-0.021621065827556348,-0.027494997188825115,-0.04458542875824868,-0.036024364219192875,0.0954511012673756,-0.1273831040622287,-0.11060345173040718,-0.09506657273229786,0.05204709959202866,-0.1316978247590089,0.04065634466062566,0.040301189919027376,-0.009847172387062104,-0.01991156869177415,-0.04605829348083677,-0.000538746898721609,0.04901979407858405,-0.015832595378865215,-0.010674726462155067,-0.015347425960424215,1.0,0.023405589946767103,0.7987025952158354
sensor_43,0.07896120957974968,0.05647078147088415,0.08231995056439007,-0.04975209716937692,-0.05677224663548636,0.0728813348318073,0.09989220833004615,0.04864153224904487,0.04426919926604972,0.009566578512693867,0.14511048512036911,0.14401015437127473,-0.1368009896933815,0.1398864334177828,0.7862705694421114,0.08710211851574344,0.09469096989928681,0.08489848313182907,0.24857006620784705,0.2231988216122012,0.3535815105575208,0.14042015455216234,0.023405589946767103,1.0,0.03853926016242188
sensor_31,0.023963508382210036,0.046140205541443914,0.05443407182833993,0.01734697894383912,0.002311743652500281,0.12384905824396769,0.10311349212951412,-0.08571754818924904,0.04834306964491578,0.021269683749904098,0.054946017972598224,-0.023929299116001296,-0.006988575725008023,0.026163191919540852,0.064550940090193,0.13999118083240017,0.05315808018917908,0.15292937313177035,0.06544279427107712,0.054428727040525295,0.04269706058665386,0.031010077909049468,0.7987025952158354,0.03853926016242188,1.0
