sensor_primary,sensor_secondary,fault_coupling_strength,lag_cycles,recommended_secondary_fault
sensor_21,sensor_33,0.8809788804439558,0,variance_burst
sensor_17,sensor_20,0.8794900584257836,0,variance_burst
sensor_19,sensor_33,0.8784521663478818,0,variance_burst
sensor_17,sensor_32,0.8772003454089313,0,variance_burst
sensor_18,sensor_32,0.8766378225765354,0,variance_burst
sensor_14,sensor_21,0.8763670032819825,0,variance_burst
sensor_39,sensor_47,0.8758365433981062,0,variance_burst
sensor_14,sensor_29,0.8737526249817733,0,variance_burst
sensor_26,sensor_28,0.8731422991345689,0,variance_burst
sensor_19,sensor_28,0.8720012414161553,0,variance_burst
sensor_16,sensor_32,0.871192080268212,0,variance_burst
sensor_24,sensor_28,0.8699275938286787,0,variance_burst
sensor_18,sensor_20,0.8693676022672234,0,variance_burst
sensor_42,sensor_46,0.8684584480160908,0,variance_burst
sensor_10,sensor_27,0.8664034338984746,0,variance_burst
sensor_20,sensor_23,0.8639523564420203,0,variance_burst
sensor_40,sensor_41,0.863311237333471,0,variance_burst
sensor_23,sensor_31,0.8614661238434292,0,variance_burst
sensor_16,sensor_20,0.8609138201773681,0,variance_burst
sensor_26,sensor_33,0.8605364124177307,0,variance_burst
sensor_10,sensor_19,0.8601968081876384,0,variance_burst
sensor_01,sensor_48,0.8598863373505176,0,variance_burst
sensor_22,sensor_30,0.8575142681378358,0,variance_burst
sensor_10,sensor_21,0.8564271085832796,0,variance_burst
sensor_16,sensor_21,0.8558343158885496,0,variance_burst
sensor_38,sensor_40,0.8547381083270003,0,variance_burst
sensor_21,sensor_27,0.8543802130750726,0,variance_burst
sensor_14,sensor_19,0.8537182780792654,0,variance_burst
sensor_16,sensor_29,0.8526892243727214,0,variance_burst
sensor_19,sensor_27,0.8510649265191544,0,variance_burst
sensor_37,sensor_51,0.8460558739656029,0,variance_burst
sensor_10,sensor_16,0.8446621607679038,0,variance_burst
sensor_29,sensor_31,0.8429863571347938,0,variance_burst
sensor_10,sensor_20,0.8410707894577698,0,variance_burst
sensor_40,sensor_47,0.8404326924766738,0,variance_burst
sensor_14,sensor_20,0.8397955235638827,0,variance_burst
sensor_10,sensor_14,0.8388971182995097,0,variance_burst
sensor_17,sensor_19,0.8372094394038688,0,variance_burst
sensor_39,sensor_46,0.8355043429380031,0,variance_burst
sensor_16,sensor_19,0.8328330669659016,0,variance_burst
sensor_30,sensor_33,0.8320615653509491,0,variance_burst
sensor_18,sensor_19,0.8310715676960139,0,variance_burst
sensor_10,sensor_17,0.8253203681490897,0,variance_burst
sensor_26,sensor_30,0.8230855678995357,0,variance_burst
sensor_41,sensor_43,0.8212601321129746,0,variance_burst
sensor_28,sensor_51,0.8188569743678428,0,variance_burst
sensor_10,sensor_18,0.8183452837259696,0,variance_burst
sensor_03,sensor_26,0.8164403595262989,0,variance_burst
sensor_27,sensor_32,0.8136760829577463,0,variance_burst
sensor_10,sensor_24,0.8136517677574212,0,variance_burst
sensor_20,sensor_29,0.8125218242780469,0,variance_burst
sensor_20,sensor_22,0.8110189557489342,0,variance_burst
sensor_12,sensor_32,0.8081548934043672,0,variance_burst
sensor_28,sensor_29,0.8066854149847893,0,variance_burst
sensor_17,sensor_29,0.8065206387243162,0,variance_burst
sensor_02,sensor_10,0.8056193120127045,0,variance_burst
sensor_24,sensor_26,0.8019797667334008,0,variance_burst
sensor_25,sensor_32,0.7982690373365557,0,variance_burst
sensor_10,sensor_30,0.7981364522856462,0,variance_burst
sensor_27,sensor_29,0.7977071333265403,0,variance_burst
sensor_20,sensor_32,0.7974255046234395,0,variance_burst
sensor_21,sensor_32,0.7914694107588579,0,variance_burst
sensor_18,sensor_29,0.7880355583715914,0,variance_burst
sensor_29,sensor_30,0.783768324685412,0,variance_burst
sensor_19,sensor_32,0.7832949072102974,0,variance_burst
sensor_27,sensor_28,0.7827533784631943,0,variance_burst
